T_K,sigma_y_MPa
294.0,276.0
295.33519553072625,275.3324022346369
296.6703910614525,274.66480446927375
298.00558659217876,273.99720670391065
299.340782122905,273.3296089385475
300.67597765363126,272.6620111731844
302.0111731843575,271.99441340782124
303.3463687150838,271.3268156424581
304.6815642458101,270.659217877095
306.01675977653633,269.99162011173183
307.3519553072626,269.32402234636874
308.68715083798884,268.6564245810056
310.0223463687151,267.9888268156424
311.35754189944134,267.3212290502793
312.6927374301676,266.6536312849162
314.02793296089385,265.9860335195531
315.3631284916201,265.3184357541899
316.69832402234636,264.6508379888268
318.0335195530726,263.98324022346367
319.36871508379886,263.31564245810057
320.70391061452517,262.6480446927374
322.0391061452514,261.9804469273743
323.3743016759777,261.31284916201116
324.70949720670393,260.64525139664806
326.0446927374302,259.9776536312849
327.37988826815644,259.3100558659218
328.7150837988827,258.64245810055866
330.05027932960894,257.97486033519556
331.3854748603352,257.3072625698324
332.72067039106145,256.63966480446925
334.0558659217877,255.97206703910615
335.39106145251395,255.30446927374302
336.7262569832402,254.6368715083799
338.0614525139665,253.96927374301674
339.3966480446927,253.30167597765364
340.731843575419,252.6340782122905
342.0670391061453,251.96648044692736
343.4022346368715,251.29888268156424
344.7374301675978,250.6312849162011
346.07262569832403,249.96368715083798
347.4078212290503,249.29608938547486
348.74301675977654,248.62849162011173
350.0782122905028,247.9608938547486
351.41340782122904,247.29329608938548
352.7486033519553,246.62569832402235
354.08379888268155,245.95810055865923
355.4189944134078,245.2905027932961
356.75418994413405,244.62290502793297
358.08938547486036,243.95530726256982
359.4245810055866,243.28770949720666
360.75977653631287,242.62011173184354
362.0949720670391,241.9525139664804
363.4301675977654,241.28491620111728
364.76536312849163,240.61731843575416
366.1005586592179,239.91021548284115
367.43575418994413,238.71807661612132
368.7709497206704,237.52593774940144
370.10614525139664,236.33379888268158
371.4413407821229,235.1416600159617
372.7765363128492,233.94952114924178
374.1117318435754,232.75738228252195
375.4469273743017,231.56524341580206
376.7821229050279,230.3731045490822
378.1173184357542,229.1809656823623
379.45251396648047,227.98882681564243
380.7877094972067,226.79668794892257
382.122905027933,225.60454908220268
383.4581005586592,224.41241021548282
384.7932960893855,223.22027134876294
386.12849162011173,222.02813248204308
387.463687150838,220.83599361532325
388.79888268156424,219.64385474860333
390.1340782122905,218.4517158818835
391.46927374301674,217.25957701516361
392.80446927374305,216.0674381484437
394.13966480446925,214.87529928172387
395.47486033519556,213.68316041500395
396.8100558659218,212.4910215482841
398.14525139664806,211.29888268156424
399.4804469273743,210.10674381484435
400.81564245810057,208.9146049481245
402.1508379888268,207.7224660814046
403.4860335195531,206.53032721468475
404.8212290502793,205.3381883479649
406.1564245810056,204.146049481245
407.49162011173183,202.95391061452514
408.8268156424581,201.76177174780528
410.1620111731844,200.56963288108537
411.4972067039106,199.37749401436554
412.8324022346369,198.18535514764562
414.16759776536315,196.99321628092574
415.5027932960894,195.80107741420588
416.83798882681566,194.608938547486
418.1731843575419,193.41679968076616
419.50837988826817,192.22466081404625
420.8435754189944,191.03252194732642
422.1787709497207,189.84038308060653
423.5139664804469,188.64824421388667
424.84916201117323,187.45610534716673
426.18435754189943,186.26396648044692
427.51955307262574,185.07182761372698
428.85474860335194,183.87968874700718
430.18994413407825,182.6875498802873
431.52513966480444,181.49541101356743
432.86033519553075,180.30327214684755
434.195530726257,179.11113328012766
435.53072625698326,177.9189944134078
436.8659217877095,176.72685554668791
438.20111731843576,175.53471667996806
439.536312849162,174.34257781324817
