T_K,k_clamp_W_per_mK,k_extrapolate_W_per_mK
200.0,330.0,336.9249676950431
204.5662100456621,330.0,336.6230090705793
209.1324200913242,330.0,336.31707628929666
213.6986301369863,330.0,336.0071869324486
218.2648401826484,330.0,335.69335858128886
222.83105022831052,330.0,335.375608817071
227.39726027397262,330.0,335.0539552210486
231.9634703196347,330.0,334.7284153744753
236.5296803652968,330.0,334.3990068586046
241.0958904109589,330.0,334.06574725469017
245.662100456621,330.0,333.72865414398547
250.2283105022831,330.0,333.38774510774425
254.7945205479452,330.0,333.04303772722005
259.3607305936073,330.0,332.6945495836664
263.9269406392694,330.0,332.34229825833705
268.4931506849315,330.0,331.98630133248537
273.0593607305936,330.0,331.6265763873651
277.6255707762557,330.0,331.26314100422974
282.1917808219178,330.0,330.896012764333
286.7579908675799,330.0,330.52520924892843
291.324200913242,330.0,330.1507480392695
295.8904109589041,329.77264671661004,329.77264671661004
300.4566210045662,329.39092286220335,329.39092286220335
305.0228310502283,329.0055940573033,329.0055940573033
309.5890410958904,328.6166778831633,328.6166778831633
314.1552511415525,328.22419192103695,328.22419192103695
318.72146118721463,327.82815375217797,327.82815375217797
323.28767123287673,327.42858095783976,327.42858095783976
327.85388127853884,327.0254911192761,327.0254911192761
332.42009132420094,326.6189018177405,326.6189018177405
336.986301369863,326.20883063448656,326.20883063448656
341.55251141552515,325.7952951507678,325.7952951507678
346.1187214611872,325.37831294783786,325.37831294783786
350.68493150684935,324.95790160695043,324.95790160695043
355.2511415525114,324.534078709359,324.534078709359
359.81735159817356,324.1068618363172,324.1068618363172
364.3835616438356,323.6762685690785,323.6762685690785
368.94977168949777,323.24231648889656,323.24231648889656
373.5159817351598,322.80502317702513,322.80502317702513
378.0821917808219,322.36440621471763,322.36440621471763
382.648401826484,321.9204831832277,321.9204831832277
387.2146118721461,321.4732716638089,321.4732716638089
391.7808219178082,321.0227892377148,321.0227892377148
396.34703196347033,320.5690534861991,320.5690534861991
400.91324200913243,320.1120819905153,320.1120819905153
405.47945205479454,319.651892331917,319.651892331917
410.04566210045664,319.1885020916579,319.1885020916579
414.61187214611874,318.72192885099145,318.72192885099145
419.17808219178085,318.2521901911712,318.2521901911712
423.7442922374429,317.779303693451,317.779303693451
428.31050228310505,317.30328693908416,317.30328693908416
432.8767123287671,316.82415750932444,316.82415750932444
437.44292237442926,316.34193298542533,316.34193298542533
442.0091324200913,315.85663094864043,315.85663094864043
446.57534246575347,315.36826898022355,315.36826898022355
451.1415525114155,314.8768308980883,314.8768308980883
455.7077625570777,314.38159621256585,314.38159621256585
460.2739726027397,313.8822950693186,313.8822950693186
464.8401826484018,313.37896318418245,313.37896318418245
469.4063926940639,312.8716362729932,312.8716362729932
473.972602739726,312.3603500515866,312.3603500515866
478.53881278538813,311.8451402357986,311.8451402357986
483.10502283105023,311.3260425414648,311.3260425414648
487.67123287671234,310.80309268442124,310.80309268442124
492.23744292237444,310.27632638050346,310.27632638050346
496.80365296803654,309.74577934554753,309.74577934554753
