material_id,name,condition,properties,aliases
alsi10mg-am,AlSi10Mg (AM),as-built,"E,alpha,cp,diffusivity,k,nu,rho,sigma_uts,sigma_y","alsi10mg,alsi10mg am,alsi10mg 3d printed,lpbf alsi10mg,am alsi10mg"
al-6061-am,Aluminum 6061 (AM),T6,"E,cp,diffusivity,eps_th,k,sigma_uts,sigma_y","al-6061,al6061,al6061 am,al-6061 3d printed,6061 am,6061 3d printed"
al-6061-t6,Aluminum 6061-T6,T6,"E,cp,diffusivity,eps_th,k,sigma_uts,sigma_y","al6061-t6,6061-t6,aa6061-t6,al 6061 t6"
c101,Copper C101,OFHC,"E,alpha,cp,diffusivity,k,rho,sigma_uts,sigma_y","c101,c10100,ofhc copper,oxygen free copper"
c110,Copper C110,annealed,"E,alpha,cp,diffusivity,k,rho,sigma_uts,sigma_y","c110,c11000,etp copper,electrolytic tough pitch copper"
cucrzr-am,CuCrZr (AM),aged,"cp,diffusivity,k,sigma_y","cucrzr,cucrzr am,cucrzr 3d printed,am cucrzr"
grcop-84-am,GRCop-84 (AM),solution treated & aged,"k,sigma_uts,sigma_y","grcop-84,gr-cop-84,grcop,gr cop,grcop 3d printed,grcop am"
in718-am,IN718 (AM),solution treated and aged,"eps_th,k,sigma_uts,sigma_y","in718,inconel 718,in718 am,in718 3d printed,am in718"
ss304,Stainless Steel 304,,"E,cp,diffusivity,eps_th,k","ss304,304,304 stainless,uns s30400"
ss316,Stainless Steel 316,,"E,cp,diffusivity,eps_th,k","ss316,316,316 stainless,uns s31600,uns s31603,316l"
ss316-am,Stainless Steel 316 (AM),,"E,cp,diffusivity,eps_th,k","ss316 am,ss316 3d printed,316 am,316l am,am ss316"
