provider,material_id,name,condition,properties,aliases
curated-public,curated-public:alsi10mg-room-temp-nasa,AlSi10Mg (room-temperature NASA table),as-built,"E,sigma_uts,sigma_y",AlSi10Mg NASA 20205003675
curated-public,curated-public:alsi10mg-temp-mdpi-ma2023,"AlSi10Mg (temperature-dependent table, MDPI Applied Sciences 2023)",SLM,"E,alpha,cp,diffusivity,k,nu,rho,sigma_y","AlSi10Mg MA2023,SLM AlSi10Mg temperature table"
curated-public,curated-public:c101-room-temp,Copper C101 (room-temperature datasheet),annealed,"E,alpha,cp,diffusivity,k,rho,sigma_uts,sigma_y","C10100 Copper,OFE Copper"
curated-public,curated-public:c110-room-temp,Copper C110 (room-temperature datasheet),annealed,"E,alpha,cp,diffusivity,k,rho,sigma_uts,sigma_y","C11000 Copper,ETP Copper"
mil-hdbk-5,mil-hdbk-5:H:al-6061-t6,Aluminum 6061-T6,T6,"sigma_uts,sigma_y",6061-T6
mil-hdbk-5,mil-hdbk-5:H:al-7075-t6,Aluminum 7075-T6,T6,"sigma_uts,sigma_y",7075-T6
mil-hdbk-5,mil-hdbk-5:H:inconel-718,Inconel 718,solution treated and aged,"sigma_uts,sigma_y","IN718,Alloy 718"
nist-cryo,nist-cryo:aluminum-6061-t6,Aluminum 6061-T6,T6,"E,cp,eps_th,k","AA6061-T6,6061-T6"
nist-cryo,nist-cryo:inconel-718,Inconel 718,,"eps_th,k","IN718,Alloy 718,UNS N07718"
nist-cryo,nist-cryo:oxygen-free-copper,Oxygen-Free Copper,OFHC,"alpha,cp","OFHC Copper,UNS C10100,UNS C10200"
nist-cryo,nist-cryo:oxygen-free-copper-rrr100,Oxygen-Free Copper (RRR 100 conductivity),OFHC,k,"OFHC Copper RRR100,UNS C10100/C10200 RRR100"
nist-cryo,nist-cryo:oxygen-free-copper-rrr50,Oxygen-Free Copper (RRR 50 conductivity),OFHC,k,"OFHC Copper RRR50,UNS C10100/C10200 RRR50"
nist-cryo,nist-cryo:stainless-steel-304,Stainless Steel 304,,"E,cp,eps_th,k","304 Stainless,UNS S30400"
nist-cryo,nist-cryo:stainless-steel-316,Stainless Steel 316,,"E,cp,eps_th,k","316 Stainless,UNS S31600,316L"
ntrs,ntrs:20205003675:alsi10mg,AlSi10Mg,as-built,"E,sigma_uts,sigma_y","LPBF AlSi10Mg,AM AlSi10Mg"
ntrs,ntrs:20210010991:cucrzr,CuCrZr,aged,"cp,k,sigma_y","Copper Chromium Zirconium,AM CuCrZr"
ntrs,ntrs:20070017311:grcop-84,GRCop-84,solution treated & aged,"k,sigma_uts,sigma_y",NASA GRCop-84
